version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
HansenFranoin,hfranoin@5y6z1g.onmicrosoft.com,amin@150, No,Hansen,Franoin,,Marketing,,,,,,,,,
FrankGauge,fgauge@5y6z1g.onmicrosoft.com,amin@151, No,Frank,Gauge,,Operations,,,,,,,,,
TomasGauge,tgauge@5y6z1g.onmicrosoft.com,amin@152, No,Tomas,Gauge,,Sales,,,,,,,,,
WendyGauge,wgauge@5y6z1g.onmicrosoft.com,amin@153, No,Wendy,Gauge,,Finance,,,,,,,,,
WendyGauge,wgauge@5y6z1g.onmicrosoft.com,amin@154, No,Wendy,Gauge,,Sales,,,,,,,,,
RyanGents,rgents@5y6z1g.onmicrosoft.com,amin@155, No,Ryan,Gents,,Marketing,,,,,,,,,
EricGentter,egentter@5y6z1g.onmicrosoft.com,amin@156, No,Eric,Gentter,,Human Resources,,,,,,,,,
WilliamGlending,wglending@5y6z1g.onmicrosoft.com,amin@157, No,William,Glending,,Operations,,,,,,,,,
DouglasHading,dhading@5y6z1g.onmicrosoft.com,amin@158, No,Douglas,Hading,,Operations,,,,,,,,,
MikeHepburn,mhepburn@5y6z1g.onmicrosoft.com,amin@159, No,Mike,Hepburn,,Information Technology,,,,,,,,,
MilliHepburn,mhepburn@5y6z1g.onmicrosoft.com,amin@160, No,Milli,Hepburn,,Finance,,,,,,,,,
LlyodHillson,lhillson@5y6z1g.onmicrosoft.com,amin@161, No,Llyod,Hillson,,Information Technology,,,,,,,,,
OrsonIgnlis,oignlis@5y6z1g.onmicrosoft.com,amin@162, No,Orson,Ignlis,,Sales,,,,,,,,,
JasonJackson,jjackson@5y6z1g.onmicrosoft.com,amin@163, No,Jason,Jackson,,Sales,,,,,,,,,
NateJackson,njackson@5y6z1g.onmicrosoft.com,amin@164, No,Nate,Jackson,,Sales,,,,,,,,,
TomasJames,tjames@5y6z1g.onmicrosoft.com,amin@165, No,Tomas,James,,Information Technology,,,,,,,,,
AmandeepKaur,akaur@5y6z1g.onmicrosoft.com,amin@166, No,Amandeep,Kaur,,Purchasing,,,,,,,,,
RishabbahKaur,rkaur@5y6z1g.onmicrosoft.com,amin@167, No,Rishabbah,Kaur,,Marketing,,,,,,,,,
DarleneKeer,dkeer@5y6z1g.onmicrosoft.com,amin@168, No,Darlene,Keer,,Human Resources,,,,,,,,,
KristopherKelown,kkelown@5y6z1g.onmicrosoft.com,amin@169, No,Kristopher,Kelown,,Marketing,,,,,,,,,
TrishaKyler,tkyler@5y6z1g.onmicrosoft.com,amin@170, No,Trisha,Kyler,,Marketing,,,,,,,,,
AmberLaunder,alaunder@5y6z1g.onmicrosoft.com,amin@171, No,Amber,Launder,,Information Technology,,,,,,,,,
GabeLeander,gleander@5y6z1g.onmicrosoft.com,amin@172, No,Gabe,Leander,,Finance,,,,,,,,,
BrentLeon,bleon@5y6z1g.onmicrosoft.com,amin@173, No,Brent,Leon,,Finance,,,,,,,,,
LarryLlyod,lllyod@5y6z1g.onmicrosoft.com,amin@174, No,Larry,Llyod,,Finance,,,,,,,,,
QuintonManson,qmanson@5y6z1g.onmicrosoft.com,amin@175, No,Quinton,Manson,,Finance,,,,,,,,,
JustinMenter,jmenter@5y6z1g.onmicrosoft.com,amin@176, No,Justin,Menter,,Finance,,,,,,,,,
JustineMenter,jmenter@5y6z1g.onmicrosoft.com,amin@177, No,Justine,Menter,,Operations,,,,,,,,,
MelindaNittle,mnittle@5y6z1g.onmicrosoft.com,amin@178, No,Melinda,Nittle,,Information Technology,,,,,,,,,
KennethNoar,knoar@5y6z1g.onmicrosoft.com,amin@179, No,Kenneth,Noar,,Marketing,,,,,,,,,
RandyNopps,rnopps@5y6z1g.onmicrosoft.com,amin@180, No,Randy,Nopps,,Marketing,,,,,,,,,
HarrisonNoter,hnoter@5y6z1g.onmicrosoft.com,amin@181, No,Harrison,Noter,,Marketing,,,,,,,,,
ZandiaOaken,zoaken@5y6z1g.onmicrosoft.com,amin@182, No,Zandia,Oaken,,Information Technology,,,,,,,,,
PhenolpeOgser,pogser@5y6z1g.onmicrosoft.com,amin@183, No,Phenolpe,Ogser,,Information Technology,,,,,,,,,
ErinOrien,eorien@5y6z1g.onmicrosoft.com,amin@184, No,Erin,Orien,,Marketing,,,,,,,,,
HarmanjotPatel,hpatel@5y6z1g.onmicrosoft.com,amin@185, No,Harmanjot,Patel,,Sales,,,,,,,,,
SagarPatel,spatel@5y6z1g.onmicrosoft.com,amin@186, No,Sagar,Patel,,Operations,,,,,,,,,
HankPaula,hpaula@5y6z1g.onmicrosoft.com,amin@187, No,Hank,Paula,,Finance,,,,,,,,,
IgnlisPoater,ipoater@5y6z1g.onmicrosoft.com,amin@188, No,Ignlis,Poater,,Marketing,,,,,,,,,
EstebanPutoan,eputoan@5y6z1g.onmicrosoft.com,amin@189, No,Esteban,Putoan,,Human Resources,,,,,,,,,
ChristopherReason,creason@5y6z1g.onmicrosoft.com,amin@190, No,Christopher,Reason,,Sales,,,,,,,,,
VermaReason,vreason@5y6z1g.onmicrosoft.com,amin@191, No,Verma,Reason,,Finance,,,,,,,,,
RentanRynolds,rrynolds@5y6z1g.onmicrosoft.com,amin@192, No,Rentan,Rynolds,,Human Resources,,,,,,,,,
UtanahSanot,usanot@5y6z1g.onmicrosoft.com,amin@193, No,Utanah,Sanot,,Information Technology,,,,,,,,,
CarsenSemans,csemans@5y6z1g.onmicrosoft.com,amin@194, No,Carsen,Semans,,Sales,,,,,,,,,
FrancisSemans,fsemans@5y6z1g.onmicrosoft.com,amin@195, No,Francis,Semans,,Sales,,,,,,,,,
AbinSharma,asharma@5y6z1g.onmicrosoft.com,amin@196, No,Abin,Sharma,,Finance,,,,,,,,,
MaheshSingh,msingh@5y6z1g.onmicrosoft.com,amin@197, No,Mahesh,Singh,,Finance,,,,,,,,,
WashdiSingh,wsingh@5y6z1g.onmicrosoft.com,amin@198, No,Washdi,Singh,,Marketing,,,,,,,,,
AaronTames,atames@5y6z1g.onmicrosoft.com,amin@199, No,Aaron,Tames,,Finance,,,,,,,,,
NigelTames,ntames@5y6z1g.onmicrosoft.com,amin@200, No,Nigel,Tames,,Human Resources,,,,,,,,,
PoppyTeaton,pteaton@5y6z1g.onmicrosoft.com,amin@201, No,Poppy,Teaton,,Operations,,,,,,,,,
SuzzanneThompson,sthompson@5y6z1g.onmicrosoft.com,amin@202, No,Suzzanne,Thompson,,Marketing,,,,,,,,,
JuliaTomes,jtomes@5y6z1g.onmicrosoft.com,amin@203, No,Julia,Tomes,,Purchasing,,,,,,,,,
AlexandriaTulesse,atulesse@5y6z1g.onmicrosoft.com,amin@204, No,Alexandria,Tulesse,,Human Resources,,,,,,,,,
HansenWanta,hwanta@5y6z1g.onmicrosoft.com,amin@205, No,Hansen,Wanta,,Sales,,,,,,,,,
KylieWaston,kwaston@5y6z1g.onmicrosoft.com,amin@206, No,Kylie,Waston,,Operations,,,,,,,,,
MarkWilson,mwilson@5y6z1g.onmicrosoft.com,amin@207, No,Mark,Wilson,,Finance,,,,,,,,,
PhilisWilson,pwilson@5y6z1g.onmicrosoft.com,amin@208, No,Philis,Wilson,,Finance,,,,,,,,,
DonovanYoutur,dyoutur@5y6z1g.onmicrosoft.com,amin@209, No,Donovan,Youtur,,Finance,,,,,,,,,
HenricZhau,hzhau@5y6z1g.onmicrosoft.com,amin@210, No,Henric,Zhau,,Sales,,,,,,,,,
IssacZion,izion@5y6z1g.onmicrosoft.com,amin@211, No,Issac,Zion,,Purchasing,,,,,,,,,
